instnm,Highest degree offered (HD2016),Level of institution (HD2016),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Admissions yield - full time (DRVADM2015),Percent admitted - total (DRVADM2015),
Continental School of Beauty Culture-Olean,0,3,,,,,
Continental School of Beauty Culture-Rochester,0,3,,,,,
Continental School of Beauty Culture-West Seneca,0,3,,,,,
Contra Costa College,40,2,,,,,
Contra Costa Community College District Office,40,2,,,,,
Converse College,20,1,33200,33200,29,58,
Conway School of Landscape Design,20,1,,,,,
Cooper Health System Center for Allied Health Education,0,1,,,,,
Cooper Union for the Advancement of Science and Art,20,1,63435,63435,,,
Copiah-Lincoln Community College,40,2,10180,12180,,,
Copper Mountain Community College,40,2,,,,,
Coppin State University,13,1,21376,27106,15,37,
Corban University,14,1,43556,43556,29,31,
Corinth Academy of Cosmetology,0,2,,,,,
Cornell College,30,1,54011,54011,20,70,
Cornell University,11,1,67613,67613,50,15,
Cornerstone University,12,1,39560,39560,17,73,
Corning Community College,40,2,16896,21210,,,
Cornish College of the Arts,30,1,55020,55020,29,68,
Cortiva Institute-Boston,0,3,,,,,
Cortiva Institute-Chicago,0,3,,,,,
Cortiva Institute-Florida,0,3,,,,,
Cortiva Institute-Florida-Texas Center for Massage Therapy,0,3,,,,,
Cortiva Institute-New Jersey,0,3,,,,,
Cortiva Institute-Pennsylvania School of Muscle Therapy,0,3,,,,,
Cortiva Institute-Scottsdale,0,3,,,,,
Cortiva Institute-Seattle,0,3,,,,,
Cortiva Institute-Seattle,0,3,,,,,
Cortiva Institute-Tucson,0,3,,,,,
Cosmetic Arts Institute,0,3,,,,,
Cosmetology & Spa Academy,0,3,,,,,
Cosmetology Academy of Texarkana,0,3,,,,,
Cosmetology Career Center LLC,0,3,,,,,
Cosmetology Career Institute,0,3,,,,,
Cosmetology Careers Unlimited College of Hair Skin and Nails,0,3,,,,,
Cosmetology Careers Unlimited College of Hair Skin and Nails,0,3,,,,,
Cosmetology College of Franklin County,0,3,,,,,
Cosmetology School of Arts and Science LLC,0,2,,,,,
Cosmetology Training Center,0,3,,,,,
Cosmetology Training Center,0,3,,,,,
Cosmix School of Makeup Artistry,0,3,,,,,
Cosmo Beauty Academy,0,3,,,,,
Cosmo Factory Cosmetology Academy,0,3,,,,,
Cosmopolitan Beauty and Tech School,0,3,,,,,
Cosmopolitan Beauty and Tech School,0,3,,,,,
Cosmotech School of Cosmetology,0,3,,,,,
Cossatot Community College of the University of Arkansas,40,2,,,,,
Cosumnes River College,40,2,,,,,
Cottey College,30,1,30100,30100,50,74,
County College of Morris,40,2,,,,,
Court Reporting Institute of St Louis,40,2,,,,,
Covenant College,20,1,44700,44700,45,94,
Covenant School of Nursing and Allied Health,0,2,,,100,100,
Covenant Theological Seminary,12,1,,,,,
Cowley County Community College,40,2,14469,15926,,,
Cox College,20,1,,,16,59,
Coyne College,40,2,,,,,
Cozmo Beauty School,0,3,,,,,
Crafton Hills College,40,2,,,,,
Cranbrook Academy of Art,20,1,,,,,
Crave Beauty Academy,0,3,,,,,
Craven Community College,40,2,,,,,
Crawford County Career and Technical Center Practical Nursing Program,0,3,,,,,
Creative Hair School of Cosmetology,0,3,,,,,
Creative Images Institute of Cosmetology-North Dayton,0,2,,,,,
Creative Images Institute of Cosmetology-South Dayton,0,2,,,,,
Creative Touch Cosmetology School,0,3,,,,,
Credence Institute of Beauty,0,3,,,,,
Creighton University,11,1,52206,52206,16,70,
Crescent City Bartending School,0,3,,,,,
Crevier's Academy of Cosmetology Arts,0,2,,,,,
Criswell College,20,1,,,44,100,
Crossroads Bible College,30,1,,,,,
Crossroads College,30,1,,,67,79,
Crowder College,40,2,12822,12822,,,
Crowley's Ridge College,30,1,21760,21760,,,
Crowley's Ridge Technical Institute,0,3,,,,,
Crown College,20,1,38150,38150,27,53,
CRU Institute of Cosmetology and Barbering,0,3,,,,,
Cuesta College,40,2,,,,,
Culinary Academy of Long Island,0,3,,,,,
Culinary Institute Inc,40,2,,,,,
Culinary Institute of America,30,1,45100,45100,38,92,
Culinary Tech Center,0,3,,,,,
Culpeper Cosmetology Training Center,0,3,,,,,
Culver-Stockton College,20,1,37579,37579,16,56,
Cumberland County College,40,2,,,,,
Cumberland University,20,1,35510,35510,59,49,
CUNY Bernard M Baruch College,20,1,30571,37681,23,32,
CUNY Borough of Manhattan Community College,40,2,,,,,
CUNY Bronx Community College,40,2,,,,,
CUNY Brooklyn College,20,1,,,17,37,
CUNY City College,12,1,28544,35654,18,43,
CUNY Graduate School and University Center,11,1,,,,,
CUNY Hostos Community College,40,2,,,,,
CUNY Hunter College,11,1,21632,28742,20,39,
CUNY John Jay College of Criminal Justice,20,1,33153,40263,30,37,
CUNY Kingsborough Community College,40,2,,,,,
CUNY LaGuardia Community College,40,2,,,,,
CUNY Lehman College,20,1,26520,33630,14,30,
CUNY Medgar Evers College,30,1,,,13,99,
CUNY New York City College of Technology,30,1,,,26,74,
CUNY Queens College,20,1,27624,34734,21,40,
CUNY Queensborough Community College,40,2,,,,,
CUNY School of Law,13,1,,,,,
CUNY System Office,20,1,,,,,
CUNY York College,20,1,,,18,40,
Curry College,20,1,55295,55295,12,88,
Curtis Institute of Music,20,1,20238,20238,88,4,
Curve Metric School of Hair Design,0,3,,,,,
Cuyahoga Community College District,40,2,,,,,
Cuyahoga Valley Career Center,0,3,,,32,100,
Cuyamaca College,40,2,,,,,
CVPH Medical Center School of Radiologic Technology,0,2,,,42,34,
CyberTex Institute of Technology,0,3,,,,,
Cypress College,40,2,,,,,
D & L Academy of Hair Design,0,2,,,,,
D A Dorsey Technical College,0,2,,,,,
D'Jay's Institute of Cosmetology and Esthiology,0,3,,,,,
D'Youville College,11,1,40980,40980,26,73,
Dabney S Lancaster Community College,40,2,,,,,
Daemen College,13,1,41865,41865,26,51,
Dakota College at Bottineau,40,2,15834,17569,,,
Dakota County Technical College,40,2,,,,,
Dakota State University,12,1,20769,23685,44,81,
Dakota Wesleyan University,20,1,37300,37300,37,74,
Dallas Baptist University,12,1,37889,37889,40,42,
Dallas Barber & Stylist College,0,3,,,,,
Dallas Christian College,30,1,30274,30274,43,51,
Dallas County Community College District,40,2,,,,,
Dallas Institute of Funeral Service,40,2,,,,,
Dallas Nursing Institute,30,1,,,69,11,
Dallas Theological Seminary,12,1,,,,,
Dalton Institute of Esthetics and Cosmetology,0,3,,,,,
Dalton State College,30,1,15206,21813,,,
Daniel Webster College,20,1,32632,32632,29,62,
Danville Area Community College,40,2,,,,,
Danville Community College,40,2,,,,,
Danville Regional Medical Center School of Health Professions,40,2,,,,,
Daoist Traditions College of Chinese Medical Arts,20,1,,,,,
Dartmouth College,11,1,69474,69474,50,11,
Darton State College,30,1,16263,22338,,,
Davenport University,20,1,29306,29306,26,89,
David Pressley School of Cosmetology,0,3,,,,,
David's Academy of Beauty,0,3,,,,,
Davidson College,30,1,64698,64698,43,22,
Davidson County Community College,40,2,,,,,
Davis & Elkins College,30,1,42750,42750,16,59,
Davis Applied Technology College,0,2,,,,,
Davis College,40,2,,,,,
Davis College,30,1,26050,26050,63,43,
Dawn Career Institute LLC,0,3,,,,,
Dawson Community College,40,2,16245,18825,,,
Day Spa Career College,0,2,,,,,
Daymar College-Bellevue,30,1,,,,,
Daymar College-Bowling Green,30,1,,,,,
Daymar College-Chillicothe,40,2,,,,,
Daymar College-Clarksville,30,1,,,,,
Daymar College-Columbus,40,2,,,,,
Daymar College-Jackson,40,2,,,,,
Daymar College-Louisville,30,1,,,,,
Daymar College-Louisville,30,1,,,,,
Daymar College-Madisonville,40,2,,,,,
Daymar College-Murfreesboro,30,1,,,,,
Daymar College-Nashville,30,1,,,,,
Daymar College-New Boston,40,2,,,,,
Daymar College-Online,30,1,,,,,
Daymar College-Owensboro,30,1,,,,,
Dayton Barber College,0,2,,,,,
Dayton School of Medical Massage,0,3,,,,,
Daytona College,40,2,,,,,
Daytona State College,30,1,,,,,
DCI Career Institute,0,3,,,,,
De Anza College,40,2,,,,,
De Wolff College Hair Styling and Cosmetology,0,3,,,,,
Dean College,30,1,54892,54892,29,67,
Dean Institute of Technology,40,2,,,,,
Debutantes School of Cosmetology and Nail Technology,0,3,,,,,
Defiance College,20,1,45430,45430,23,65,
DeHart Technical School,0,3,,,,,
Del Mar College,40,2,,,,,
Delaware Area Career Center,0,3,,,,,
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,0,3,,,60,71,
Delaware College of Art and Design,40,2,43830,43830,50,74,
Delaware County Community College,40,2,,,,,
Delaware County Technical School-Practical Nursing Program,0,3,,,100,100,
Delaware Learning Institute of Cosmetology,0,3,,,,,
Delaware State University,12,1,22058,30664,25,44,
Delaware Technical Community College-Central Office,30,1,,,,,
Delaware Technical Community College-Terry,30,1,,,,,
Delaware Valley University,12,1,52878,52878,26,69,
Delgado Community College,40,2,,,,,
Dell'Arte International School of Physical Theatre,20,1,,,,,
Delmarva Beauty Academy,0,3,,,,,
Delta Beauty College,0,2,,,,,
Delta College,40,2,,,,,
Delta College Inc,0,3,,,,,
Delta College of Arts & Technology,40,2,,,,,
Delta College of Arts & Technology-Lafayette Campus,0,3,,,,,
Delta College-Slidell Campus,0,3,,,,,
Delta Montrose Technical College,0,2,,,,,
Delta School of Business and Technology,40,2,,,,,
Delta State University,12,1,18992,18992,44,87,
Delta Technical College,0,3,,,,,
Demmons School of Beauty,0,3,,,,,
Denham Springs Beauty School,0,3,,,,,
Denison University,30,1,63130,63130,22,48,
Denmark Technical College,40,2,14344,17684,,,
Dental Assistant Pro LLC-Columbus,0,3,,,,,
Dental Assistant Pro-Lebanon,0,3,,,,,
Denver School of Nursing,30,1,,,,,
Denver Seminary,14,1,,,,,
DePaul University,11,1,54481,54481,18,72,
DePauw University,30,1,60888,60888,18,65,
Dermal Science International Aesthetics and Nail Academy,0,3,,,,,
Dermalogica Academy,0,3,,,,,
Des Moines Area Community College,40,2,17311,21721,,,
Des Moines University-Osteopathic Medical Center,13,1,,,,,
DeSales University,13,1,50760,50760,20,78,
Design Institute of San Diego,30,1,,,,,
Design's School of Cosmetology,0,3,,,,,
Designer Barber & Stylist School,0,3,,,,,
Detroit Business Institute-Downriver,0,3,,,,,
DeVry College of New York,20,1,,,52,84,
DeVry University-Administrative Office,20,1,,,,,
DeVry University-Arizona,20,1,,,57,84,
DeVry University-California,20,1,,,50,88,
DeVry University-Colorado,20,1,,,33,86,
DeVry University-Florida,20,1,,,29,78,
DeVry University-Georgia,20,1,,,32,84,
DeVry University-Illinois,20,1,,,32,78,
DeVry University-Indiana,20,1,,,42,75,
DeVry University-Michigan,20,1,,,0,100,
DeVry University-Minnesota,20,1,,,25,57,
DeVry University-Missouri,20,1,,,32,86,
DeVry University-Nevada,20,1,,,25,80,
DeVry University-New Jersey,20,1,,,50,87,
DeVry University-North Carolina,20,1,,,40,67,
DeVry University-Ohio,20,1,,,43,86,
DeVry University-Oklahoma,20,1,,,27,92,
DeVry University-Oregon,20,1,,,0,100,
DeVry University-Pennsylvania,20,1,,,30,86,
DeVry University-Tennessee,20,1,,,40,88,
DeVry University-Texas,20,1,,,22,94,
DeVry University-Virginia,20,1,,,28,90,
DeVry University-Washington,20,1,,,0,100,
DeVry University-Wisconsin,20,1,,,,0,
Diablo Valley College,40,2,,,,,
Diamond Beauty College,0,3,,,,,
Diamonds Cosmetology College,0,3,,,,,
Dickinson College,30,1,66779,66779,26,47,
Dickinson State University,30,1,17507,20077,61,93,
Diesel Driving Academy-Baton Rouge,0,3,,,,,
Diesel Driving Academy-Shreveport,0,3,,,,,
DigiPen Institute of Technology,20,1,43400,43400,51,47,
Digital Film Academy,0,3,,,,,
Digital Media Arts College,20,1,,,,,
DiGrigoli School of Cosmetology,0,3,,,,,
Dillard University,30,1,32076,32076,13,48,
Diman Regional Technical Institute,0,3,,,60,34,
Dine College,30,1,12015,12015,,,
Divers Academy International,0,3,,,,,
Divers Institute of Technology,0,3,,,,,
Diversified Vocational College,0,3,,,,,
Divine Crown Academy of Cosmetology,0,3,,,,,
Divine Mercy University,13,1,,,,,
Divine Word College,30,1,19199,19199,78,100,
Dixie Applied Technology College,0,3,,,,,
Dixie State University,30,1,19036,28052,,,
DLP Conemaugh Memorial Medical Center,0,2,,,88,95,
Doane University-Arts & Sciences,30,1,44554,44554,23,77,
Doane University-Graduate and Professional Studies,12,1,,,,,
Dodge City Community College,40,2,14138,14378,,,
Dolce LLC The Academy,0,3,,,,,
Dominican College of Blauvelt,13,1,44308,44308,26,71,
Dominican School of Philosophy & Theology,20,1,,,,,
Dominican University,12,1,43872,43872,18,63,
Dominican University of California,20,1,62010,62010,15,79,
Dominion School of Hair Design,0,3,,,,,
Don Roberts Beauty School,0,3,,,,,
Don Roberts School of Hair Design,0,3,,,,,
Dongguk University-Los Angeles,13,1,,,,,
Donna's Academy of Hair Design,0,3,,,,,
Donnelly College,30,1,18682,18682,,,
Dordt College,20,1,42500,42500,39,70,
Dorsey Business Schools-Dearborn,0,3,,,,,
Dorsey Business Schools-Farmington Hills,0,3,,,,,
Dorsey Business Schools-Lansing,0,3,,,,,
Dorsey Business Schools-Madison Heights,0,3,,,,,
Dorsey Business Schools-Roseville,0,3,,,,,
Dorsey Business Schools-Roseville Culinary Academy,0,3,,,,,
Dorsey Business Schools-Saginaw,0,3,,,,,
Dorsey Business Schools-Southgate,0,3,,,,,
Dorsey Business Schools-Waterford Pontiac,0,3,,,,,
Dorsey Business Schools-Wayne,0,3,,,,,
Douglas Education Center,40,2,,,,,
Douglas J Aveda Institute,0,3,,,,,
Dowling College,14,1,,,,,
Downey Adult School,0,2,,,,,
Dragon Rises College of Oriental Medicine,20,1,,,,,
Drake University,11,1,49856,49856,18,67,
Drew University,11,1,64670,64670,17,70,
Drexel University,11,1,71375,71375,13,75,
DrupalEasy Academy,0,3,,,,,
Drury University,20,1,38341,38341,40,84,
Du Bois Business College-Du Bois,40,2,,,,,
Du Bois Business College-Huntingdon,40,2,,,,,
Du Bois Business College-Oil City,40,2,,,,,
duCret School of Arts,0,2,,,50,100,
Duke University,11,1,69169,69169,49,11,
Duluth Business University,30,1,,,,,
Dunwoody College of Technology,30,1,,,61,75,
Duquesne University,11,1,50422,50422,25,76,
Durham Beauty Academy,0,3,,,,,
Durham Technical Community College,40,2,,,,,
Dutchess BOCES-Practical Nursing Program,0,3,,,19,74,
Dutchess Community College,40,2,19084,22612,,,
DuVall's School of Cosmetology,0,3,,,,,
Dyersburg State Community College,40,2,,,,,
E Q School of Hair Design,0,2,,,,,
Ea La Mar's Cosmetology & Barber College,0,3,,,,,
Eagle Gate College-Layton,30,1,,,,,
Eagle Gate College-Murray,30,1,,,,,
Eagle Rock College,40,2,,,,,
Earlham College,20,1,57870,57870,16,62,
East Arkansas Community College,40,2,,,,,
East Carolina University,11,1,21162,37120,36,69,
East Central College,40,2,,,,,
East Central Community College,40,2,10580,12680,,,
East Central University,20,1,16239,25359,64,46,
East Georgia State College,30,1,15790,21865,,,
East Los Angeles College,40,2,,,,,
East Mississippi Community College,40,2,12055,14455,,,
East San Gabriel Valley Regional Occupational Program,40,2,,,,,
East Stroudsburg University of Pennsylvania,12,1,22356,33498,25,84,
East Tennessee State University,11,1,23083,40315,30,79,
East Texas Baptist University,20,1,36825,36825,42,55,
East Valley Institute of Technology,0,3,,,,,
East West College of Natural Medicine,20,1,,,,,
East West College of the Healing Arts,0,3,,,,,
East-West Healing Arts Institute,0,3,,,,,
East-West University,30,1,,,,,
Eastern Arizona College,40,2,13985,20945,,,
Eastern Center for Arts and Technology,0,3,,,,,
Eastern College of Health Vocations-Little Rock,0,3,,,,,
Eastern College of Health Vocations-New Orleans,0,3,,,,,
Eastern Connecticut State University,20,1,26310,39171,29,64,
Eastern Florida State College,30,1,,,,,
Eastern Gateway Community College,40,2,,,,,
Eastern Idaho Technical College,40,2,,,,,
Eastern Illinois University,20,1,23343,25503,25,50,
Eastern International College-Belleville,30,1,,,,,
Eastern International College-Jersey City,30,1,,,,,
Eastern Iowa Community College District,40,2,16104,18446,,,
Eastern Kentucky University,13,1,21334,30646,38,71,
Eastern Maine Community College,40,2,17618,20378,,,
Eastern Mennonite University,20,1,47600,47600,25,62,
Eastern Michigan University,12,1,23749,40242,27,75,
Eastern Nazarene College,20,1,43415,43415,16,61,
Eastern New Mexico University-Main Campus,20,1,17976,23751,51,50,
Eastern New Mexico University-Roswell Campus,40,2,14972,17804,,,
Eastern New Mexico University-Ruidoso Campus,40,2,,,,,
Eastern Oklahoma County Technology Center,0,3,,,,,
Eastern Oklahoma State College,40,2,13941,17557,,,
Eastern Oregon University,20,1,21314,31955,32,97,
Eastern School of Acupuncture and Traditional Medicine,20,1,,,,,
Eastern Shore Community College,40,2,,,,,
Eastern Suffolk BOCES,0,3,,,,,
Eastern Suffolk BOCES,0,3,,,,,
Eastern Suffolk BOCES,0,3,,,63,93,
Eastern University,11,1,46344,46344,25,52,
Eastern Virginia Career College,40,2,,,76,63,
Eastern Virginia Medical School,11,1,,,,,
Eastern Washington University,13,1,21972,38364,40,82,
Eastern West Virginia Community and Technical College,40,2,,,,,
Eastern Wyoming College,40,2,14108,18380,,,
Eastfield College,40,2,,,,,
Eastland-Fairfield Career and Technical Schools,0,3,,,,,
Eastwick College-Hackensack,40,2,,,83,52,
Eastwick College-Nutley,40,2,,,76,44,
Eastwick College-Ramsey,30,1,,,69,69,
Ecclesia College,20,1,28430,28430,56,60,
Eckerd College,30,1,57162,57162,15,72,
eClips School of Cosmetology and Barbering,0,3,,,,,
Ecotech Institute,40,2,,,,,
ECPI University,20,1,,,41,84,
ECPI University - College of Nursing - Orlando,-3,-3,,,,,
ECPI University - Roanoke,-3,-3,,,,,
Ecumenical Theological Seminary,12,1,,,,,
Eden Theological Seminary,12,1,,,,,
Edgecombe Community College,40,2,,,,,
Edgewood College,11,1,41096,41096,33,77,
Edinboro University of Pennsylvania,20,1,24843,25409,35,96,
Edison State Community College,40,2,,,,,
EDMC Central Administrative Office,11,1,,,,,
Edmonds Community College,40,2,16531,22241,,,
EDP School of Computer Programming,0,3,,,,,
Education and Technology Institute,0,3,,,,,
Educators of Beauty College of Cosmetology-La Salle,0,3,,,,,
Educators of Beauty College of Cosmetology-Rockford,0,3,,,,,
Educators of Beauty College of Cosmetology-Sterling,0,3,,,,,
Edward Via College of Osteopathic Medicine,13,1,,,,,
Edward Waters College,30,1,25083,25083,14,54,
EHOVE Career Center,0,2,,,,,
EINE Inc,0,3,,,,,
El Camino College-Compton Center,40,2,,,,,
El Camino Community College District,40,2,,,,,
El Centro College,40,2,,,,,
El Paso Community College,40,2,,,,,
Elaine Sterling Institute,0,3,,,,,
Elaine Steven Beauty College,0,3,,,,,
Electrical Training Center,0,3,,,,,
Elegance International,0,3,,,,,
Elevate Salon Institute,0,3,,,,,
Elgin Community College,40,2,,,,,
Eli Whitney Technical High School,0,3,,,,,
Elim Bible Institute and College,40,2,14268,14268,,,
Elite College of Cosmetology,0,3,,,,,
Elite Cosmetology School,0,3,,,,,
Elite School of Cosmetology,0,2,,,,,
Elite Welding Academy LLC,0,3,,,,,
Elizabeth City State University,20,1,13730,26701,25,70,
Elizabeth Grady School of Esthetics and Massage Therapy,0,3,,,,,
Elizabethtown College,20,1,56200,56200,21,71,
Elizabethtown College School of Continuing and Professional Studies,20,1,,,,,
Elizabethtown Community and Technical College,40,2,,,,,
Ellsworth Community College,40,2,17086,17974,,,
Elmezzi Graduate School of Molecular Medicine,12,1,,,,,
Elmhurst College,20,1,48500,48500,24,55,
Elmira Business Institute,40,2,,,,,
Elmira College,20,1,55050,55050,14,76,
Elon University,13,1,48099,48099,26,57,
Embry-Riddle Aeronautical University-Daytona Beach,12,1,50570,50570,40,69,
Embry-Riddle Aeronautical University-Prescott,20,1,49912,49912,38,79,
Embry-Riddle Aeronautical University-Worldwide,12,1,,,12,66,
Emerald Coast Technical College,0,2,,,,,
Emerson College,20,1,62515,62515,22,49,
Emil Fries Piano Hospital and Training Center,0,2,,,,,
Emily Griffith Technical College,0,3,,,,,
Emmanuel College,30,1,29230,29230,43,34,
Emmanuel College,20,1,55186,55186,12,78,
Emmaus Bible College,30,1,26155,26155,39,35,
Emory & Henry College,13,1,48100,48100,27,76,
Emory University,11,1,65080,65080,28,24,
Emory University-Oxford College,40,2,58900,58900,13,39,
Emperor's College of Traditional Oriental Medicine,13,1,,,,,
Empire Beauty  School-Lehigh Valley,0,3,,,,,
Empire Beauty School-Augusta,0,3,,,,,
Empire Beauty School-Aurora,0,2,,,,,
Empire Beauty School-Avondale,0,3,,,,,
Empire Beauty School-Bloomfield,0,3,,,,,
Empire Beauty School-Bloomington,0,3,,,,,
Empire Beauty School-Bordentown,0,3,,,,,
Empire Beauty School-Boston,0,3,,,,,
Empire Beauty School-Brooklyn,0,3,,,,,
Empire Beauty School-Buffalo,0,3,,,,,
Empire Beauty School-Center City Philadelphia,0,3,,,,,
Empire Beauty School-Chandler,0,3,,,,,
Empire Beauty School-Cheltenham,0,3,,,,,
Empire Beauty School-Chenoweth,0,2,,,,,
Empire Beauty School-Cherry Hill,0,3,,,,,
Empire Beauty School-Cincinnati,0,3,,,,,
Empire Beauty School-Concord,0,3,,,,,
Empire Beauty School-Dixie,0,2,,,,,
Empire Beauty School-Dunwoody,0,3,,,,,
Empire Beauty School-E Memphis,0,3,,,,,
Empire Beauty School-Eden Prairie,0,3,,,,,
Empire Beauty School-Elizabethtown,0,2,,,,,
Empire Beauty School-Flagstaff,0,3,,,,,
Empire Beauty School-Florence,0,2,,,,,
Empire Beauty School-Framingham,0,3,,,,,
Empire Beauty School-Glen Burnie,0,3,,,,,
Empire Beauty School-Green Bay,0,3,,,,,
Empire Beauty School-Gwinnett,0,3,,,,,
Empire Beauty School-Hanover,0,3,,,,,
Empire Beauty School-Hanover Park,0,3,,,,,
Empire Beauty School-Harrisburg,0,3,,,,,
Empire Beauty School-Highland,0,2,,,,,
Empire Beauty School-Hooksett,0,3,,,,,
Empire Beauty School-Hurstborne,0,2,,,,,
Empire Beauty School-Indianapolis,0,3,,,,,
Empire Beauty School-Jackson,0,3,,,,,
Empire Beauty School-Jersey City,0,3,,,,,
Empire Beauty School-Kennesaw,0,3,,,,,
Empire Beauty School-Laconia,0,3,,,,,
Empire Beauty School-Lakewood,0,2,,,,,
Empire Beauty School-Lancaster,0,3,,,,,
Empire Beauty School-Lauderhill,0,3,,,,,
Empire Beauty School-Lebanon,0,3,,,,,
Empire Beauty School-Lisle,0,3,,,,,
Empire Beauty School-Littleton,0,2,,,,,
Empire Beauty School-Maine,0,3,,,,,
Empire Beauty School-Malden,0,3,,,,,
Empire Beauty School-Manhattan,0,3,,,,,
Empire Beauty School-Manitowoc,0,3,,,,,
Empire Beauty School-Matthews,0,3,,,,,
Empire Beauty School-Michigan,0,3,,,,,
Empire Beauty School-Midlothian,0,3,,,,,
Empire Beauty School-Milwaukee,0,3,,,,,
Empire Beauty School-Monroeville,0,3,,,,,
Empire Beauty School-Morrow,0,3,,,,,
Empire Beauty School-Nashville,0,3,,,,,
Empire Beauty School-NE Philadelphia,0,3,,,,,
Empire Beauty School-North Hills,0,3,,,,,
Empire Beauty School-Northlake,0,3,,,,,
Empire Beauty School-NW Phoenix,0,3,,,,,
Empire Beauty School-Owings Mills,0,3,,,,,
Empire Beauty School-Paramus,0,3,,,,,
Empire Beauty School-Peekskill,0,3,,,,,
Empire Beauty School-Pineville,0,3,,,,,
Empire Beauty School-Portsmouth,0,3,,,,,
Empire Beauty School-Pottsville,0,3,,,,,
Empire Beauty School-Prescott,0,3,,,,,
Empire Beauty School-Queens,0,3,,,,,
Empire Beauty School-Reading,0,3,,,,,
Empire Beauty School-Richmond,0,3,,,,,
Empire Beauty School-Rochester,0,3,,,,,
Empire Beauty School-Savannah,0,3,,,,,
Empire Beauty School-Shamokin Dam,0,3,,,,,
Empire Beauty School-Somersworth,0,3,,,,,
Empire Beauty School-Speedway,0,3,,,,,
Empire Beauty School-Spring Lake Park,0,3,,,,,
Empire Beauty School-Springfield,0,3,,,,,
Empire Beauty School-State College,0,3,,,,,
Empire Beauty School-Stone Park,0,3,,,,,
Empire Beauty School-Thornton,0,2,,,,,
Empire Beauty School-Tucson,0,3,,,,,
Empire Beauty School-Union,0,3,,,,,
Empire Beauty School-Vernon Hills,0,3,,,,,
Empire Beauty School-Virginia Beach,0,3,,,,,
Empire Beauty School-Warminster,0,3,,,,,
Empire Beauty School-Warwick,0,3,,,,,
Empire Beauty School-West Greensboro,0,3,,,,,
Empire Beauty School-West Mifflin,0,3,,,,,
Empire Beauty School-West Palm,0,3,,,,,
Empire Beauty School-Williamsport,0,3,,,,,
Empire Beauty School-Wyoming Valley,0,3,,,,,
Empire Beauty School-York,0,3,,,,,
Empire College,13,1,,,,,
Employment Solutions-College for Technical Education,0,2,,,,,
Emporia State University,12,1,19041,32254,48,87,
EMS Training Institute,0,3,,,,,
Endicott College,12,1,49136,49136,27,73,
Enid Beauty College,0,3,,,,,
Enterprise State Community College,40,2,,,,,
Entourage Institute of Beauty and Esthetics,0,3,,,,,
Epic Bible College,20,1,,,,,
Episcopal Divinity School,14,1,,,,,
Episcopal Theological Seminary of the Southwest,20,1,,,,,
Eric Fisher Academy,0,3,,,,,
Erie 1 BOCES,0,3,,,,,
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,0,3,,,,,
Erie Community College,40,2,,,,,
Erie Institute of Technology Inc,40,2,,,,,
Erikson Institute,20,1,,,,,
Erskine College,12,1,51360,51360,34,64,
Erwin Technical College,0,2,,,,,
Essentials Academy of Cosmetology,0,3,,,,,
Essex County College,40,2,25971,25971,,,
Estelle Medical Academy,0,3,,,,,
Estelle Skin Care and Spa Institute,0,3,,,,,
Estes Institute of Cosmetology Arts and Science,0,3,,,,,
Estrella Mountain Community College,40,2,,,,,
Eternity Cosmetology School,0,3,,,,,
ETI School of Skilled Trades,0,3,,,,,
ETI Technical College,40,2,,,,,
Euphoria Institute of Beauty Arts & Sciences-Green Valley,0,2,,,,,
Euphoria Institute of Beauty Arts & Sciences-Summerlin,0,2,,,,,
Eureka College,30,1,32220,32220,21,62,
Eureka Institute of Health and Beauty,0,3,,,,,
European Academy of Cosmetology and Hairdressing,0,3,,,,,
European Massage Therapy School-Las Vegas,0,3,,,,,
Evangel University,12,1,34771,34771,40,61,
Evangelical Theological Seminary,20,1,,,,,
Evans Hairstyling College-Cedar City,0,2,,,,,
Evans Hairstyling College-Rexburg,0,2,,,,,
Evans Hairstyling College-St George,0,2,,,,,
Everest College-Arlington,40,2,,,,,
Everest College-Atlanta West,0,3,,,,,
Everest College-Aurora,40,2,,,,,
Everest College-Bremerton,40,2,,,,,
Everest College-Chesapeake,40,2,,,,,
Everest College-Colorado Springs,40,2,,,,,
Everest College-Dallas,40,2,,,,,
Everest College-Everett,40,2,,,,,
Everest College-Fort Worth South,40,2,,,,,
Everest College-Henderson,40,2,,,,,
Everest College-Kansas City,0,3,,,,,
Everest College-Newport News,40,2,,,,,
Everest College-Portland,40,2,,,,,
Everest College-Renton,0,3,,,,,
Everest College-Seattle,0,3,,,,,
Everest College-Springfield,30,1,,,,,
Everest College-Tacoma,40,2,,,,,
Everest College-Thornton,40,2,,,,,
Everest College-Vancouver,0,3,,,,,
Everest College-Woodbridge,0,3,,,,,
Everest Institute-Austin,0,3,,,,,
Everest Institute-Bissonnet,0,3,,,,,
Everest Institute-Dearborn,0,3,,,,,
Everest Institute-Detroit,0,3,,,,,
Everest Institute-Gahanna,0,3,,,,,
Everest Institute-Greenspoint,0,3,,,,,
Everest Institute-Hobby,0,3,,,,,
Everest Institute-Jonesboro,0,3,,,,,
Everest Institute-Marietta,0,3,,,,,
Everest Institute-Norcross,40,2,,,,,
