instnm,Highest degree offered (HD2016),Level of institution (HD2016),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Admissions yield - full time (DRVADM2015),Percent admitted - total (DRVADM2015),
All-State Career-Baltimore,0,3,,,,,
Allan Hancock College,40,2,,,,,
Allegany College of Maryland,40,2,22738,24088,,,
Allegheny College,30,1,58920,58920,17,68,
Allegheny Wesleyan College,30,1,12412,12412,,,
Allen College,13,1,,,,0,
Allen County Community College,40,2,11780,11780,,,
Allen School-Brooklyn,0,3,,,,,
Allen School-Jamaica,0,3,,,,,
Allen School-Phoenix,0,2,,,,,
Allen University,30,1,22800,22800,,,
Alliance Computing Solutions,0,3,,,,,
Alliant International University-San Diego,11,1,,,8,92,
Allied American University,30,1,,,,,
Allstate Hairstyling & Barber College,0,2,,,,,
Alma College,30,1,50613,50613,20,68,
Alpena Community College,30,1,,,,,
Altoona Beauty School Inc,0,3,,,,,
Alvareitas College of Cosmetology-Belleville,0,3,,,,,
Alvareitas College of Cosmetology-Edwardsville,0,3,,,,,
Alvareitas College of Cosmetology-Godfrey,0,3,,,,,
Alvernia University,11,1,47510,47510,32,74,
Alverno College,20,1,38551,38551,48,77,
Alvin Community College,40,2,,,,,
Amarillo College,40,2,,,,,
Amberton University,20,1,,,,,
Ambiance Beauty & Barber Academy Inc,0,3,,,,,
Ambria College of Nursing,30,1,,,,,
American Academy McAllister Institute of Funeral Service,40,2,,,,,
American Academy of Acupuncture and Oriental Medicine,13,1,,,,,
American Academy of Art,30,1,,,,,
American Academy of Cosmetology,0,3,,,,,
American Academy of Cosmetology-Delray Beach,0,3,,,,,
American Academy of Dramatic Arts-Los Angeles,40,2,48010,48010,49,16,
American Academy of Dramatic Arts-New York,40,2,55080,55080,42,75,
American Academy of Personal Training,0,3,,,,,
American Academy of Personal Training-Boston Campus,0,3,,,,,
American Advanced Technicians Institute,0,3,,,,,
American Baptist College,30,1,24644,24644,,,
American Baptist Seminary of the West,14,1,,,,,
American Beauty Academy,0,3,,,,,
American Beauty Academy-Murray Campus,0,3,,,,,
American Beauty College,0,3,,,,,
American Beauty School,0,3,,,,,
American Broadcasting School-Arlington,0,3,,,,,
American Broadcasting School-Oklahoma City,0,3,,,,,
American Broadcasting School-Online Program,0,3,,,,,
American Business and Technology University,20,1,,,,,
American Career College-Anaheim,40,2,,,,,
American Career College-Long Beach,0,3,,,,,
American Career College-Los Angeles,40,2,,,,,
American Career College-Lynwood,0,3,,,,,
American Career College-Ontario,40,2,,,,,
American College for Medical Careers,30,1,,,,,
American College of Acupuncture and Oriental Med,13,1,,,,,
American College of Barbering,0,3,,,,,
American College of Education,12,1,,,,,
American College of Financial Services,12,1,,,,,
American College of Hair Design Inc,0,3,,,,,
American College of Hairstyling-Des Moines,0,2,,,,,
American College of Healthcare,0,2,,,,,
American College of Healthcare,0,2,,,,,
American College of Healthcare Sciences,20,1,,,3,97,
American College of Traditional Chinese Medicine,14,1,,,,,
American Conservatory Theater,20,1,,,100,100,
American Film Institute Conservatory,20,1,,,,,
American Hair Academy,0,2,,,,,
American Health Institute,0,3,,,,,
American Indian College Inc,30,1,,,,,
American Indian OIC Inc,0,3,,,,,
American Institute of Alternative Medicine,40,2,,,0,80,
American Institute of Alternative Medicine,0,3,,,,,
American Institute of Beauty,0,3,,,,,
American Institute of Interior Design,0,3,,,,,
American Institute of Massage Therapy,0,3,,,,,
American Institute of Medical Sciences & Education,0,2,,,,,
American Institute of Medical Technology,0,3,,,67,23,
American Institute of Trucking,0,3,,,,,
American Institute-Clifton,0,2,,,,,
American Institute-Margate,0,3,,,,,
American Institute-Toms River,0,2,,,,,
American Institute-West Hartford,0,2,,,,,
American InterContinental University-Atlanta,20,1,,,,,
American InterContinental University-Houston,20,1,,,,,
American InterContinental University-Online,20,1,,,,,
American International College,11,1,49490,49490,27,63,
AMERICAN ISLAMIC COLLEGE,20,1,15575,15575,29,100,
American Jewish University,20,1,51820,51820,24,80,
American Medical Academy,40,2,,,,,
American Medical Sciences Center,40,2,,,,,
American Musical and Dramatic Academy,30,1,51950,51950,28,22,
American National University,20,1,,,,,
American National University-Canton,40,2,,,,,
American National University-Cincinnati,40,2,,,,,
American National University-Columbus,30,1,,,,,
American National University-Dayton,40,2,,,,,
American National University-Lexington,30,1,,,,,
American National University-Stow,40,2,,,,,
American National University-Willoughby Hills,40,2,,,,,
American National University-Youngstown,40,2,,,,,
American Public University System,20,1,,,,,
American River College,40,2,,,,,
American School of Business,0,3,,,,,
American School of Technology,0,3,,,,,
American Sentinel University,12,1,,,,,
American Trade School,40,2,,,,,
American University,11,1,62272,62272,30,35,
American University of Health Sciences,20,1,,,100,100,
AmeriTech College-Draper,30,1,,,63,75,
AmeriTech College-Provo,0,3,,,73,83,
AMG School of Licensed Practical Nursing,0,3,,,,,
Amherst College,30,1,68986,68986,39,14,
Ammi Barber Academy,0,3,,,,,
Amridge University,12,1,,,,,
Anabaptist Mennonite Biblical Seminary,20,1,,,,,
Ancilla College,40,2,26710,26710,,,
Anderson University,12,1,42200,42200,27,60,
Anderson University,12,1,40334,40334,36,55,
Andover Newton Theological School,14,1,,,,,
Andrew College,40,2,32800,32800,41,99,
Andrews University,12,1,38626,38626,31,39,
Angeles College,30,1,,,,,
Angeles Institute,0,3,,,,,
Angelina College,40,2,13880,15260,,,
Angelo State University,13,1,19943,29735,45,77,
Anna Maria College,20,1,51620,51620,16,80,
Anne Arundel Community College,40,2,,,,,
Annenberg School of Nursing,0,3,,,100,100,
Anoka Technical College,40,2,,,,,
Anoka-Ramsey Community College,40,2,,,,,
Anson College of Cosmetology,0,3,,,,,
Antelope Valley College,30,1,,,,,
Antioch College,30,1,51732,51732,55,72,
Antioch University Online,30,1,,,,,
Antioch University-Los Angeles,20,1,,,,,
Antioch University-Midwest,20,1,,,,,
Antioch University-New England,11,1,,,,,
Antioch University-PhD Program in Leadership and Change,12,1,,,,,
Antioch University-Santa Barbara,13,1,,,,,
Antioch University-Seattle,13,1,,,,,
Antioch University-System Administration,11,1,,,,,
Antonelli College-Cincinnati,40,2,,,,,
Antonelli College-Hattiesburg,40,2,,,,,
Antonelli College-Jackson,40,2,,,,,
Antonelli Institute,40,2,34250,34250,,,
Antonelli Medical and Professional Institute,0,3,,,,,
AOMA Graduate School of Integrative Medicine,11,1,,,,,
Aparicio-Levy Technical College,0,3,,,,,
Apex Academy of Hair Design Inc,0,3,,,,,
Apex School of Theology,12,1,,,,,
Apex Technical School,0,3,,,,,
Apollo Career Center,0,3,,,,,
Appalachian Beauty School,0,2,,,,,
Appalachian Bible College,20,1,24940,24940,90,48,
Appalachian College of Pharmacy,13,1,,,,,
Appalachian School of Law,13,1,,,,,
Appalachian State University,12,1,18941,33457,35,66,
Applied Technology Services,0,3,,,,,
Aquinas College,20,1,37231,37231,31,52,
Aquinas College,20,1,41472,41472,19,72,
Aquinas Institute of Theology,12,1,,,,,
Arapahoe Community College,40,2,,,,,
Arcadia University,11,1,57020,57020,10,59,
Arclabs,0,3,,,,,
Argosy University-Atlanta,11,1,,,,,
Argosy University-Chicago,11,1,,,,,
Argosy University-Dallas,11,1,,,,,
Argosy University-Denver,11,1,,,,,
Argosy University-Hawaii,11,1,,,,,
Argosy University-Inland Empire,12,1,,,,,
Argosy University-Los Angeles,12,1,,,,,
Argosy University-Nashville,12,1,,,,,
Argosy University-Orange County,11,1,,,,,
Argosy University-Phoenix,11,1,,,,,
Argosy University-Phoenix Online Division,12,1,,,,,
Argosy University-Salt Lake City,11,1,,,,,
Argosy University-San Diego,12,1,,,,,
Argosy University-San Francisco Bay Area,11,1,,,,,
Argosy University-Sarasota,11,1,,,,,
Argosy University-Schaumburg,11,1,,,,,
Argosy University-Seattle,11,1,,,,,
Argosy University-Tampa,11,1,,,,,
Argosy University-The Art Institute of California-Hollywood,30,1,,,,,
Argosy University-The Art Institute of California-Inland Empire,30,1,32286,32286,,,
Argosy University-The Art Institute of California-Los Angeles,30,1,,,,,
Argosy University-The Art Institute of California-Orange County,30,1,,,,,
Argosy University-The Art Institute of California-Sacramento,30,1,,,,,
Argosy University-The Art Institute of California-San Diego,30,1,,,,,
Argosy University-The Art Institute of California-San Francisco,20,1,,,,,
Argosy University-The Art Institute of California-Silicon Valley,30,1,,,,,
Argosy University-Twin Cities,11,1,,,,,
Argosy University-Washington DC,11,1,,,,,
Aria Health School of Nursing,0,2,,,82,69,
Arizona Academy of Beauty-East,0,3,,,,,
Arizona Academy of Beauty-North,0,3,,,,,
Arizona Automotive Institute,0,3,,,,,
Arizona Board of Regents,11,1,,,,,
Arizona Christian University,30,1,38644,38644,49,51,
Arizona College-Glendale,40,2,,,,,
Arizona College-Las Vegas,30,1,,,,,
Arizona College-Mesa,30,1,,,,,
Arizona Culinary Institute,0,3,,,,,
Arizona School of Acupuncture and Oriental Medicine,20,1,,,,,
Arizona School of Integrative Studies,0,3,,,,,
Arizona State University-Downtown Phoenix,11,1,28187,44287,31,78,
Arizona State University-Polytechnic,12,1,25867,41162,34,80,
Arizona State University-Skysong,12,1,24246,31337,25,56,
Arizona State University-Tempe,12,1,26263,42363,39,83,
Arizona State University-West,12,1,25147,40442,31,76,
Arizona Summit Law School,13,1,,,,,
Arizona Western College,40,2,16562,23552,,,
Arkansas Baptist College,30,1,23060,23060,,,
Arkansas Beauty College,0,3,,,,,
Arkansas Beauty School-Little Rock,0,3,,,,,
Arkansas College of Barbering and Hair Design,0,3,,,,,
Arkansas Colleges of Health Education,13,1,,,,,
Arkansas Northeastern College,40,2,,,,,
Arkansas State University Mid-South,40,2,,,,,
Arkansas State University-Beebe,40,2,13733,15833,,,
Arkansas State University-Main Campus,11,1,22008,28068,41,70,
Arkansas State University-Mountain Home,40,2,,,,,
Arkansas State University-Newport,40,2,,,,,
Arkansas State University-System Office,11,1,,,,,
Arkansas Tech University,12,1,18234,23490,47,89,
Arlington Baptist College,20,1,21150,21150,,,
Arlington Career Institute,0,2,,,,,
Arlington Medical Institute,0,3,,,,,
Armstrong State University,13,1,20696,30952,46,74,
Arnolds Beauty School,0,3,,,,,
Arnot Ogden Medical Center,0,2,,,100,80,
Arrojo Cosmetology School,0,3,,,,,
Art Academy of Cincinnati,20,1,43052,43052,57,23,
Art Center College of Design,20,1,,,37,80,
Arthur's Beauty College Inc-Fort Smith,0,3,,,,,
Arthur's Beauty College Inc-Jacksonville,0,3,,,,,
Arthur's Beauty College-Jonesboro,0,3,,,,,
Arthur's Beauty School Inc-Conway,0,3,,,,,
Artistic Academy of Hair Design,0,3,,,,,
Artistic Nails and Beauty Academy-Lakeland,0,3,,,,,
Artistic Nails and Beauty Academy-Tampa,0,3,,,,,
ASA College,40,2,33818,33818,,,
Asbury Theological Seminary,12,1,,,,,
Asbury University,20,1,39388,39388,34,57,
Asher College,40,2,,,,,
Asheville-Buncombe Technical Community College,40,2,,,,,
Ashford University,20,1,,,,,
Ashland Community and Technical College,40,2,,,,,
Ashland County-West Holmes Career Center,0,3,,,,,
Ashland University,11,1,33502,33502,25,77,
Ashtabula County Technical and Career Campus,0,3,,,,,
ASI Career Institute,0,3,,,,,
Asian-American International Beauty College,0,3,,,,,
ASM Beauty World Academy,0,3,,,,,
Asnuntuck Community College,40,2,,,,,
Aspen Beauty Academy of Laurel,0,3,,,,,
Aspen University,12,1,,,,,
Assabet Valley Regional Technical School,0,3,,,81,84,
Assemblies of God Theological Seminary,11,1,,,,,
Associated Barber College of San Diego,0,3,,,,,
Associated Beth Rivkah Schools,0,2,,,100,89,
Associated Technical College-Los Angeles,0,3,,,,,
Associated Technical College-San Diego,0,3,,,,,
Assumption College,20,1,50720,50720,16,76,
Assumption College for Sisters,40,2,10974,10974,,,
Astrodome Career Centers,0,3,,,,,
ATA Career Education,40,2,,,,,
ATA College,40,2,,,,,
Atelier Esthetique Institute of Esthetics,0,3,,,62,98,
Athena Career Academy,0,3,,,,,
Athenaeum of Ohio,20,1,0,0,,,
Athens State University,20,1,,,,,
Athens Technical College,40,2,,,,,
ATI College-Norwalk,0,2,,,,,
Atlanta Beauty & Barber Academy,0,3,,,,,
Atlanta Institute of Music and Media,40,2,,,63,71,
Atlanta Metropolitan State College,30,1,,,,,
Atlanta School of Massage,0,3,,,,,
Atlanta Technical College,40,2,,,,,
Atlanta's John Marshall Law School,13,1,,,,,
Atlantic Beauty & Spa Academy LLC,0,3,,,,,
Atlantic Cape Community College,40,2,,,,,
Atlantic Institute of Oriental Medicine,14,1,,,,,
Atlantic Technical College,0,2,,,,,
Atlantis University,20,1,,,,,
ATS Institute of Technology,40,2,,,59,71,
Auburn Career Center,0,3,,,,,
Auburn University,11,1,30458,48602,32,78,
Auburn University at Montgomery,12,1,20080,31150,29,79,
Augsburg College,13,1,49743,49743,28,59,
Augusta School of Massage,0,3,,,,,
Augusta Technical College,40,2,,,,,
Augusta University,11,1,20632,35340,49,74,
Augustana College,30,1,51858,51858,20,49,
Augustana University,20,1,40824,40824,39,65,
Auguste Escoffier School of Culinary Arts-Austin,40,2,,,,,
Auguste Escoffier School of Culinary Arts-Boulder,0,3,,,,,
Aultman College of Nursing and Health Sciences,30,1,,,77,87,
Aurora University,12,1,36068,36068,29,77,
Austin College,20,1,52047,52047,20,54,
Austin Community College District,40,2,,,,,
Austin Graduate School of Theology,20,1,,,,,
Austin Kade Academy,0,2,,,,,
Austin Peay State University,20,1,23488,38728,41,88,
Austin Presbyterian Theological Seminary,13,1,,,,,
Austin's Beauty College,0,3,,,,,
Austin's School of Spa Technology,0,3,,,,,
Automotive Training Center-Exton,0,2,,,,,
Automotive Training Center-Warminster,0,2,,,,,
Autry Technology Center,0,2,,,11,100,
Avalon School of Cosmetology,0,2,,,,,
Avalon School of Cosmetology-Alameda,0,3,,,,,
Avalon School of Cosmetology-Layton,0,3,,,,,
Avalon School of Cosmetology-Mesa,0,3,,,,,
Avalon School of Cosmetology-Phoenix,0,3,,,,,
Avance Beauty College,0,3,,,,,
Avant Gard The School,0,3,,,,,
Ave Maria School of Law,13,1,,,,,
Ave Maria University,14,1,33396,33396,31,43,
Aveda Fredric's Institute-Cincinnati,0,3,,,,,
Aveda Fredric's Institute-Indianapolis,0,3,,,,,
Aveda Institute Portland-Vancouver Campus,0,3,,,,,
Aveda Institute-Baton Rouge,0,3,,,,,
Aveda Institute-Boise,0,2,,,,,
Aveda Institute-Chapel Hill,0,3,,,,,
Aveda Institute-Chicago,0,3,,,,,
Aveda Institute-Columbus,0,3,,,,,
Aveda Institute-Covington,0,3,,,,,
Aveda Institute-Denver,0,2,,,,,
Aveda Institute-Des Moines,0,2,,,,,
Aveda Institute-Lafayette,0,3,,,,,
Aveda Institute-Los Angeles,0,3,,,,,
Aveda Institute-Madison,0,2,,,,,
Aveda Institute-Minneapolis,0,3,,,,,
Aveda Institute-New Mexico,0,3,,,,,
Aveda Institute-New York,0,3,,,,,
Aveda Institute-Phoenix,0,3,,,,,
Aveda Institute-Portland,0,2,,,,,
Aveda Institute-Provo,0,3,,,,,
Aveda Institute-San Antonio,0,3,,,,,
Aveda Institute-South Florida,0,3,,,,,
Aveda Institute-Tallahassee,0,3,,,,,
Aveda Institute-Tucson,0,3,,,,,
Aveda Institute-Twin Falls,0,2,,,,,
Avenue Five Institute,0,3,,,,,
Avera McKennan Hospital School of Radiologic Technology,0,2,,,,,
Avera Sacred Heart Hospital,0,2,,,,,
Averett University,20,1,44336,44336,20,61,
Averett University-Non-Traditional Programs,20,1,,,1,55,
Avi Career Training,0,3,,,,,
Aviation Institute of Maintenance,0,2,,,,,
Aviation Institute of Maintenance-Atlanta,0,2,,,,,
Aviation Institute of Maintenance-Chesapeake,0,3,,,,,
Aviation Institute of Maintenance-Dallas,0,2,,,,,
Aviation Institute of Maintenance-Houston,0,2,,,,,
Aviation Institute of Maintenance-Indianapolis,0,2,,,,,
Aviation Institute of Maintenance-Kansas City,0,2,,,,,
Aviation Institute of Maintenance-Las Vegas,0,2,,,,,
Aviation Institute of Maintenance-Manassas,0,2,,,,,
Aviation Institute of Maintenance-Orlando,0,2,,,,,
Aviation Institute of Maintenance-Philadelphia,0,2,,,,,
Aviator College of Aeronautical Science and Technology,40,2,93704,93704,,,
Avila University,20,1,38646,38646,20,51,
AVTEC-Alaska's Institute of Technology,0,3,,,,,
Award Beauty School,0,3,,,,,
Ayers Career College,0,3,,,,,
Azure College,40,2,,,,,
Azusa Pacific University,11,1,50574,50574,24,81,
Azusa Pacific University College,20,1,,,,,
B M Spurr School of Practical Nursing,0,3,,,80,83,
B-Unique Beauty and Barber Academy,0,3,,,,,
Babson College,20,1,66564,66564,27,26,
Bacone College,30,1,35200,35200,28,42,
Bainbridge State College,30,1,,,,,
Bais Binyomin Academy,30,1,15800,15800,100,100,
Bais HaMedrash and Mesivta of Baltimore,30,1,21500,21500,100,96,
Bais Medrash Elyon,12,1,15400,15400,,,
Bais Medrash Toras Chesed,30,1,15750,15750,64,46,
Baker College,12,1,21000,21000,,,
Baker University,12,1,42340,42340,25,82,
Bakersfield College,30,1,,,,,
Bakke Graduate University,12,1,,,,,
Baldwin Beauty School-North Austin,0,3,,,,,
Baldwin Beauty School-South Austin,0,3,,,,,
Baldwin Park Adult & Community Education,0,3,,,,,
Baldwin Wallace University,20,1,44646,44646,29,60,
Ball State University,11,1,23940,39714,26,61,
Baltimore City Community College,40,2,,,,,
Baltimore School of Massage-Linthicum,0,3,,,,,
Baltimore School of Massage-York,0,3,,,,,
Baltimore Studio of Hair Design,0,3,,,,,
Bancroft School of Massage Therapy,0,3,,,,,
Bank Street College of Education,20,1,,,,,
Baptist Bible College,20,1,21666,21666,,,
Baptist Health College-Little Rock,40,2,,,45,32,
Baptist Health System School of Health Professions,30,1,,,,,
Baptist Memorial College of Health Sciences,30,1,22219,22219,37,55,
Baptist Missionary Association Theological Seminary,20,1,14700,14700,0,70,
Baptist Theological Seminary at Richmond,14,1,,,,,
Baptist University of the Americas,30,1,15610,15610,,,
Barber Institute of Texas,0,3,,,,,
Barber School of Pittsburgh,0,3,,,,,
Barber School of Pittsburgh - Ambridge,-3,-3,,,,,
Barber Tech Academy,0,3,,,,,
Barclay College,20,1,28990,28990,52,75,
Bard College,12,1,68624,68624,20,32,
Bard College at Simon's Rock,30,1,68930,68930,66,89,
Barnard College,30,1,68512,68512,48,20,
Barnes-Jewish College Goldfarb School of Nursing,14,1,,,,,
Barone Beauty Academy,0,3,,,,,
Barrett and Company School of Hair Design,0,2,,,,,
Barry University,11,1,45840,45840,21,55,
Barstow Community College,40,2,,,,,
Barton College,20,1,44286,44286,18,42,
Barton County Community College,40,2,16726,17718,,,
Bastyr University,13,1,,,,,
Bates College,30,1,66550,66550,42,22,
Bates Technical College,40,2,,,,,
Baton Rouge Community College,40,2,,,,,
Baton Rouge General Medical Center-School of Nursing,0,2,,,,,
Baton Rouge General Medical Center-School of Radiologic Technology,0,2,,,,,
Baton Rouge School of Computers,40,2,,,,,
Bauder College,30,1,,,,,
Bay Area College of Nursing,0,3,,,,,
Bay Area Medical Academy,0,3,,,,,
Bay de Noc Community College,40,2,17286,22176,,,
Bay Mills Community College,40,2,,,,,
Bay Path University,20,1,48349,48349,20,77,
Bay State College,30,1,43320,43320,,,
Bay State School of Technology,0,3,,,,,
Baylor College of Medicine,11,1,,,,,
Baylor University,11,1,59174,59174,24,44,
Bayshire Academy of Beauty Craft Inc,0,3,,,,,
BCI,0,3,,,,,
BCI - Malden,-3,-3,,,,,
Be'er Yaakov Talmudic Seminary,30,1,17540,17540,100,100,
Beacon College,30,1,53722,53722,52,57,
Beal College,40,2,,,,,
Beau Monde College of Hair Design,0,2,,,,,
Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,0,3,,,,,
Beaufort County Community College,40,2,,,,,
